question,answer
"what is ML?","ML means training a computer using data"
"what is AI?","AI means making machines capable of smart decisions"
"what is deep learning?","Deep learning uses neural networks to learn from large datasets"
"what is a dataset?","A dataset is a collection of data used for training models"
"what is supervised learning?","Supervised learning uses labeled data to train models"
"what is unsupervised learning?","Unsupervised learning finds patterns in unlabeled data"
"what is a model?","A model is a system trained to make predictions or decisions"
"what is classification?","Classification predicts categories like spam or not spam"
"what is regression?","Regression predicts numerical values like price or temperature"
"what is training?","Training means teaching a model using sample data"
 
